Ascii character:	frequency
0:		0.0
1:		0.0
2:		0.0
3:		0.0
4:		0.0
5:		0.0
6:		0.0
7:		0.0
8:		0.0
9:		0.0
10:		0.018472770579726655
11:		0.0
12:		0.0
13:		0.018472770579726655
14:		0.0
15:		0.0
16:		0.0
17:		0.0
18:		0.0
19:		0.0
20:		0.0
21:		0.0
22:		0.0
23:		0.0
24:		0.0
25:		0.0
26:		0.0
27:		0.0
28:		0.0
29:		0.0
30:		0.0
31:		0.0
32:		0.18569761589109413
33:		0.001234059684191464
34:		9.985036061865467E-6
35:		1.8154611021573577E-6
36:		3.6309222043147154E-6
37:		1.3615958266180184E-6
38:		9.077305510786789E-7
39:		4.992518030932734E-6
40:		1.574912506121508E-4
41:		1.574912506121508E-4
42:		9.848876479203666E-5
43:		0.0
44:		0.014180112803675583
45:		0.001488224238493494
46:		0.007176063871552496
47:		2.8593512358978387E-5
48:		1.0847380085390213E-4
49:		1.9833912541069134E-4
50:		7.851869266830572E-5
51:		6.853365660644026E-5
52:		5.7640889993496113E-5
53:		6.762592605536158E-5
54:		4.5840392829473284E-5
55:		5.219450668702404E-5
56:		5.7640889993496113E-5
57:		4.4478797002855264E-5
58:		2.841196624876265E-4
59:		0.0026841592395396535
60:		0.0
61:		0.0
62:		0.0
63:		7.597704712528542E-4
64:		2.269326377696697E-6
65:		0.0016379997794214762
66:		0.0011895808871886088
67:		9.522093480815342E-4
68:		6.581046495320423E-4
69:		8.514512569118008E-4
70:		5.019749947465094E-4
71:		4.910822281335653E-4
72:		0.0010125734297282663
73:		0.003039535750286956
74:		2.723191653236037E-4
75:		1.3979050486611654E-4
76:		7.248228450363251E-4
77:		0.0011714262761670351
78:		5.777704957615792E-4
79:		4.5386527553933947E-4
80:		7.702093725902591E-4
81:		1.8563089769558984E-4
82:		4.670273685299803E-4
83:		0.0012454063160799475
84:		0.0017015409179969836
85:		1.334363910085658E-4
86:		8.578053707693515E-5
87:		9.753564771340405E-4
88:		1.2708227715101505E-5
89:		3.335909775214145E-4
90:		1.0438901337404807E-5
91:		4.538652755393394E-6
92:		0.0
93:		4.538652755393394E-6
94:		0.0
95:		9.730871507563438E-4
96:		0.0
97:		0.058209129318471366
98:		0.01167432261742289
99:		0.01742524952378186
100:		0.029846634384742502
101:		0.09269335908867483
102:		0.01585306020931359
103:		0.015252596449775042
104:		0.047254183162778324
105:		0.04885315052850342
106:		8.083340557355636E-4
107:		0.005699186264947485
108:		0.03135210550370649
109:		0.017567309355025672
110:		0.05098314026660954
111:		0.054791977658935676
112:		0.012216237756416861
113:		9.227081051714772E-4
114:		0.04210871253398884
115:		0.04700909591398708
116:		0.06657295861611032
117:		0.021071603147464913
118:		0.006971370632284254
119:		0.016316002790363715
120:		9.463090994995228E-4
121:		0.01458632222528329
122:		7.411619949557413E-4
123:		0.0
124:		0.0
125:		0.0
126:		0.0
127:		0.0
